Configuration,Perfect Accuracy,Off-by-One Accuracy,RMSE,MAE,Quadratic Weighted Kappa
zero_shot_temp0.6_cotYes_structuredYes,0.3685 ± 0.0568,0.7604 ± 0.0821,1.2864 ± 0.1499,0.9356 ± 0.1462,0.2548 ± 0.0925
one_shot_temp0.6_cotYes_structuredYes,0.3501 ± 0.0358,0.7857 ± 0.0524,1.2582 ± 0.1186,0.9241 ± 0.1035,0.2871 ± 0.1012
few_shot_temp0.6_cotYes_structuredYes,0.3685 ± 0.0808,0.8295 ± 0.0520,1.1086 ± 0.1315,0.8226 ± 0.1323,0.3397 ± 0.1547
multi_shot_temp0.6_cotYes_structuredYes,0.3941 ± 0.0357,0.8686 ± 0.0259,1.0207 ± 0.0654,0.7465 ± 0.0595,0.3162 ± 0.0880
zero_shot_temp0.7_cotYes_structuredYes,0.3572 ± 0.0565,0.7603 ± 0.0969,1.2946 ± 0.1893,0.9516 ± 0.1792,0.2499 ± 0.1378
one_shot_temp0.7_cotYes_structuredYes,0.3618 ± 0.0827,0.7880 ± 0.0543,1.2291 ± 0.1468,0.9009 ± 0.1560,0.3043 ± 0.1290
few_shot_temp0.7_cotYes_structuredYes,0.3916 ± 0.0544,0.8272 ± 0.0160,1.1186 ± 0.0820,0.8065 ± 0.0767,0.3410 ± 0.1010
multi_shot_temp0.7_cotYes_structuredYes,0.3943 ± 0.0625,0.8526 ± 0.0263,1.0214 ± 0.0685,0.7531 ± 0.0870,0.3227 ± 0.0764
zero_shot_temp0.8_cotYes_structuredYes,0.3341 ± 0.0500,0.7695 ± 0.0783,1.2685 ± 0.1332,0.9494 ± 0.1373,0.2832 ± 0.0883
one_shot_temp0.8_cotYes_structuredYes,0.3434 ± 0.0572,0.7881 ± 0.0456,1.2468 ± 0.1383,0.9239 ± 0.1261,0.2846 ± 0.1307
few_shot_temp0.8_cotYes_structuredYes,0.3616 ± 0.0520,0.8341 ± 0.0113,1.1180 ± 0.0326,0.8272 ± 0.0470,0.3338 ± 0.0659
multi_shot_temp0.8_cotYes_structuredYes,0.3686 ± 0.0249,0.8871 ± 0.0247,0.9951 ± 0.0546,0.7490 ± 0.0457,0.3697 ± 0.0535
zero_shot_temp0.9_cotYes_structuredYes,0.3341 ± 0.0481,0.7510 ± 0.0881,1.3190 ± 0.1520,0.9840 ± 0.1470,0.2308 ± 0.0995
one_shot_temp0.9_cotYes_structuredYes,0.3686 ± 0.0758,0.7927 ± 0.0452,1.2576 ± 0.1232,0.9056 ± 0.1243,0.2871 ± 0.1366
few_shot_temp0.9_cotYes_structuredYes,0.3434 ± 0.0428,0.8549 ± 0.0265,1.1034 ± 0.0744,0.8270 ± 0.0700,0.3389 ± 0.0987
multi_shot_temp0.9_cotYes_structuredYes,0.3873 ± 0.0542,0.8503 ± 0.0216,1.0511 ± 0.0577,0.7717 ± 0.0700,0.3100 ± 0.0889
