Configuration,Perfect Accuracy,Off-by-One Accuracy,RMSE,MAE,Quadratic Weighted Kappa
multi_shot_temp0.6_cotYes_structuredYes,0.3893 ± 0.0364,0.8386 ± 0.0332,1.0770 ± 0.0644,0.7859 ± 0.0561,0.4378 ± 0.0575
zero_shot_temp0.7_cotYes_structuredYes,0.3593 ± 0.0350,0.8318 ± 0.0199,1.1376 ± 0.0309,0.8388 ± 0.0296,0.4637 ± 0.0385
one_shot_temp0.7_cotYes_structuredYes,0.2949 ± 0.0174,0.7927 ± 0.0375,1.2131 ± 0.0711,0.9423 ± 0.0531,0.4332 ± 0.0674
few_shot_temp0.7_cotYes_structuredYes,0.3133 ± 0.0376,0.8271 ± 0.0346,1.1574 ± 0.0639,0.8872 ± 0.0679,0.4445 ± 0.0408
multi_shot_temp0.7_cotYes_structuredYes,0.3872 ± 0.0248,0.8456 ± 0.0191,1.0685 ± 0.0594,0.7811 ± 0.0455,0.4503 ± 0.0534
zero_shot_temp0.8_cotYes_structuredYes,0.3341 ± 0.0433,0.8272 ± 0.0195,1.1535 ± 0.0606,0.8688 ± 0.0569,0.4495 ± 0.0528
one_shot_temp0.8_cotYes_structuredYes,0.2880 ± 0.0074,0.8042 ± 0.0321,1.1985 ± 0.0363,0.9354 ± 0.0347,0.4267 ± 0.0496
few_shot_temp0.8_cotYes_structuredYes,0.3133 ± 0.0441,0.8341 ± 0.0402,1.1379 ± 0.0682,0.8756 ± 0.0613,0.4480 ± 0.0465
multi_shot_temp0.8_cotYes_structuredYes,0.3617 ± 0.0329,0.8501 ± 0.0289,1.0737 ± 0.0656,0.8020 ± 0.0628,0.4436 ± 0.0505
zero_shot_temp0.9_cotYes_structuredYes,0.3109 ± 0.0555,0.8248 ± 0.0306,1.1647 ± 0.0881,0.8943 ± 0.0883,0.4337 ± 0.0581
one_shot_temp0.9_cotYes_structuredYes,0.2857 ± 0.0199,0.7950 ± 0.0207,1.2302 ± 0.0208,0.9562 ± 0.0224,0.4134 ± 0.0477
few_shot_temp0.9_cotYes_structuredYes,0.3318 ± 0.0149,0.8157 ± 0.0178,1.1498 ± 0.0519,0.8733 ± 0.0333,0.4405 ± 0.0503
multi_shot_temp0.9_cotYes_structuredYes,0.3547 ± 0.0274,0.8640 ± 0.0341,1.0569 ± 0.0742,0.7951 ± 0.0644,0.4566 ± 0.0726
